ChromosomeName,StartPosition,EndPosition,FileName,NumberOfFilesFoundIn,NumberMatchingBasePairs
chr1,1623330,1623853,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,523
chr1,1648435,1648851,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,416
chr1,1676605,1677128,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,523
chr1,1718368,1718780,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,412
chr1,1799680,1800417,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,737
chr1,1821348,1822976,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,1628
chr1,1832184,1832454,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,270
chr1,1855530,1857298,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,1768
chr1,1889126,1889631,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,505
chr1,1895246,1895272,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,26
chr1,1933436,1933897,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,461
chr1,1950290,1951664,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,1374
chr1,2021329,2021547,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,218
chr1,2044194,2044370,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,176
chr1,2123133,2123355,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,222
chr1,2245558,2247036,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,1478
chr1,2351101,2351657,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,556
chr1,2355244,2356067,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,823
chr1,2371898,2371943,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,45
chr1,2407267,2407366,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,99
chr1,2424100,2426576,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,2476
chr1,2450722,2452528,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,1806
chr1,2520987,2523410,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,2423
chr1,2541178,2541261,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,83
chr1,2546887,2547232,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,345
chr1,2627986,2628453,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,467
chr1,2695235,2695685,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,450
chr1,2705524,2706144,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,620
chr1,2775671,2777322,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,1651
chr1,2988945,2989885,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,940
chr1,2992920,2995359,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,2439
chr1,2997118,2999236,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,2118
chr1,3081548,3083637,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,2,4178
chr1,3081548,3083637,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,2,4178
chr1,3170330,3170779,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,449
chr1,3182838,3183140,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,302
chr1,3211370,3211416,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,46
chr1,3260831,3260868,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,37
chr1,3294301,3294381,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,2,160
chr1,3294301,3294381,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,2,160
chr1,3306231,3306576,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,345
chr1,3410040,3410864,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,824
chr1,3454026,3454703,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,677
chr1,3542929,3543247,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,318
chr1,3587861,3588005,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,144
chr1,3597390,3598415,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,1025
chr1,3618035,3618133,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,98
chr1,3637596,3638618,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,1022
chr1,3641906,3645316,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,3410
chr1,3683643,3684296,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,653
chr1,3730367,3731039,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,672
chr1,3766035,3767327,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,1292
chr1,3822313,3823121,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,808
chr1,4006488,4006925,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,437
chr1,4036161,4036740,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,579
chr1,4036741,4036832,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,91
chr1,4068267,4068570,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,303
chr1,4391479,4392963,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,1484
chr1,4465548,4465715,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,167
chr1,4552879,4558103,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,5224
chr1,4587963,4589145,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,1182
chr1,4623426,4623465,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,39
chr1,5292481,5293539,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,1058
chr1,5369336,5371291,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,1955
chr1,5577542,5579000,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,1458
chr1,5741701,5742490,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,789
chr1,5751798,5752315,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,517
chr1,5867714,5867829,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,115
chr1,6102820,6102969,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,2,298
chr1,6102820,6102969,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,2,298
chr1,6126181,6127790,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,1609
chr1,6230808,6231258,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,450
chr1,6232450,6232966,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,516
chr1,6275154,6275327,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,173
chr1,6340988,6341289,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,301
chr1,6353167,6353188,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,21
chr1,6405272,6406225,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,953
chr1,6437374,6437908,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,534
chr1,6478921,6480126,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,1205
chr1,6480961,6481455,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,494
chr1,6484316,6484913,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,597
chr1,6503679,6504208,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,529
chr1,6535398,6535797,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,399
chr1,6542834,6543008,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,174
chr1,6652699,6653150,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,451
chr1,6723454,6723585,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,131
chr1,6729524,6730078,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,554
chr1,6739974,6740656,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,682
chr1,6806880,6807193,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,313
chr1,6892630,6893048,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,418
chr1,6961552,6961883,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,331
chr1,7009363,7009406,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,43
chr1,7091841,7092090,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,249
chr1,7233513,7233687,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,174
chr1,7234174,7235743,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,1569
chr1,7252242,7252560,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,318
chr1,7294912,7295086,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,174
chr1,7301872,7302766,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,894
chr1,7373124,7373177,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,53
chr1,7395071,7395530,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,459
chr1,7491553,7491613,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,60
chr1,7587413,7587988,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,575
chr1,7595069,7596567,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,1498
chr1,7630222,7630273,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,51
chr1,7636310,7636644,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,334
chr1,7651364,7651798,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,434
chr1,7732721,7733328,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,2,1214
chr1,7732721,7733328,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,2,1214
chr1,7813143,7813990,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,847
chr1,7830941,7831567,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,626
chr1,7846268,7846573,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,305
chr1,7910270,7911197,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,927
chr1,7930434,7931029,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,595
chr1,8009020,8009355,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,335
chr1,8082616,8083402,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,786
chr1,8084892,8086134,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,1242
chr1,8097272,8097414,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,142
chr1,8119265,8119663,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,398
chr1,8147670,8147825,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,155
chr1,8173432,8173754,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,322
chr1,8294395,8294452,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,57
chr1,8413579,8413913,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,2,668
chr1,8413579,8413913,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,2,668
chr1,8449993,8450470,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,477
chr1,8482719,8484654,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,1935
chr1,8505665,8506284,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,619
chr1,8540904,8541241,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,337
chr1,8634646,8635806,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,1160
chr1,8765970,8766290,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,320
chr1,8787105,8787266,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,161
chr1,8823984,8824360,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,376
chr1,8851662,8851737,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,75
chr1,9029327,9030502,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,1175
chr1,9146680,9147502,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,822
chr1,9232523,9232694,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,171
chr1,9285881,9286283,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,402
chr1,9290511,9290657,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,146
chr1,9294536,9295441,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,905
chr1,9349354,9349429,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,75
chr1,9479501,9480162,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,661
chr1,9599024,9600210,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,1186
chr1,9625353,9625526,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,173
chr1,9753531,9754242,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,711
chr1,9789838,9790437,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,599
chr1,9804243,9804569,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,326
chr1,9818117,9818290,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,173
chr1,9904389,9904689,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,300
chr1,9969346,9971552,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,2206
chr1,9974206,9974529,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,323
chr1,10082034,10082475,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,441
chr1,10128026,10128326,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,300
chr1,10283670,10283841,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,171
chr1,10311177,10311744,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,567
chr1,10314056,10314632,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,576
chr1,10338361,10338469,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,108
chr1,10473225,10473353,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,128
chr1,10533862,10534040,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,178
chr1,10543025,10543317,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,292
chr1,10690291,10690744,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,453
chr1,10698550,10699651,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,1101
chr1,10751366,10751539,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,173
chr1,10890083,10890244,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,161
chr1,10948900,10949352,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,452
chr1,11002367,11003065,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,698
chr1,11033383,11033796,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,413
chr1,11113321,11113714,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,393
chr1,11189699,11189893,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,194
chr1,11262918,11263047,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,129
chr1,11332478,11333810,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,1332
chr1,11365017,11365153,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,136
chr1,11380143,11380534,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,391
chr1,11386836,11387850,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,1014
chr1,11397895,11398801,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,906
chr1,11462458,11462902,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,444
chr1,11523641,11523962,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,321
chr1,11553183,11553416,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,233
chr1,11560580,11561377,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,797
chr1,11573516,11573857,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,341
chr1,11575549,11575723,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,174
chr1,11763040,11763141,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,101
chr1,11783124,11783714,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,590
chr1,11862792,11863828,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,1036
chr1,11865908,11866265,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,357
chr1,11906911,11907238,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,327
chr1,11984914,11986898,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,1984
chr1,11997597,11997731,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,134
chr1,12196484,12196973,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,489
chr1,12387436,12387584,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,148
chr1,12610331,12610889,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,558
chr1,12619706,12619941,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,235
chr1,12641225,12642146,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,921
chr1,12739921,12740585,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,664
chr1,13154095,13154151,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,56
chr1,13801925,13802068,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,143
chr1,13875724,13876444,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,720
chr1,14037673,14038376,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,703
chr1,14273220,14273546,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,326
chr1,14342976,14343018,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,42
chr1,14364739,14365438,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,699
chr1,14373618,14373763,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,145
chr1,14481906,14481989,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,83
chr1,14591730,14592866,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,1136
chr1,14779691,14780109,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,418
chr1,14882845,14883241,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,396
chr1,14975991,14976306,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,315
chr1,14985677,14985708,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,31
chr1,14988085,14988188,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,103
chr1,15145749,15146445,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,696
chr1,15179719,15179946,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,227
chr1,15202617,15202726,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,109
chr1,15202727,15203209,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,482
chr1,15240931,15241133,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,202
chr1,15258306,15259558,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,1252
chr1,15294799,15295179,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,380
chr1,15342411,15342553,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,142
chr1,15479554,15479953,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,399
chr1,15568525,15568681,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,156
chr1,15591076,15592245,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,1169
chr1,15690731,15690883,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,152
chr1,15771153,15771858,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,705
chr1,15794362,15795217,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,855
chr1,15851989,15852530,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,541
chr1,15976679,15977144,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,465
chr1,15978548,15978964,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,416
chr1,15994249,15994883,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,634
chr1,16104308,16104718,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,410
chr1,16130271,16130310,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,39
chr1,16218759,16219371,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,612
chr1,16244125,16244659,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,534
chr1,16262325,16263209,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,884
chr1,16263210,16263350,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,140
chr1,16263478,16264442,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,964
chr1,16273784,16275667,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,1883
chr1,16287963,16288182,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,219
chr1,16312154,16312311,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,157
chr1,16321617,16322124,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,507
chr1,16396040,16396499,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,459
chr1,16407331,16407691,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,360
chr1,16464046,16465939,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,1893
chr1,16471363,16471467,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,104
chr1,16489479,16489903,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,424
chr1,16540829,16541304,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,475
chr1,16597841,16598015,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,174
chr1,16726752,16727672,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,920
chr1,16802057,16802915,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,2,1716
chr1,16802057,16802915,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,2,1716
chr1,16888403,16889133,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,730
chr1,16893424,16893643,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,219
chr1,16933309,16933516,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,207
chr1,16933517,16933559,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,42
chr1,17016411,17016710,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,299
chr1,17038337,17038755,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,418
chr1,17053277,17053602,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,325
chr1,17125657,17176162,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,50505
chr1,17230173,17230497,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,324
chr1,17261750,17262142,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,392
chr1,17290533,17291117,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,584
chr1,17339279,17339334,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,55
chr1,17423096,17423820,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,724
